specimen_id,species,width_i,width_h,width_r,height_i,height_h,height_r,avg_i,avg_h,avg_r
062723-MOHK-018-H,EGME,3.8,3,3.5,1.8,1.7,2.4,0.13,0.0299,0.08
062723-MOHK-018-I,EGME,3.4,2.9,3.4,23.7,22.9,22.7,0.18,0.0502,0.1
062723-MOHK-012-J,EGME,3.3,3,3.3,1.8,1.7,2.1,0.21,0.0516,0.13
062723-MOHK-012-H,EGME,3.2,2.7,3,26.2,23.5,25.5,0.21,0.0439,0.13
062723-MOHK-012-G,EGME,3.2,2.6,2.9,22,21.2,22.3,0.25,0.0453,0.19
062723-MOHK-018-F,EGME,3.3,3,3.3,28.8,26.5,28.3,0.14,0.0167,0.12
071123-NAPL-023-A,CC,7.1,6.8,7.2,12.7,12.4,12.6,0.45,0.1764,0.41
071123-NAPL-022-A,CC,9.6,8.5,9.7,21,19.2,20.3,0.64,0.1418,0.467
062723-MOHK-007-H,EGME,3.1,2.7,3.25,16.5,15.6,16,0.18,0.0439,0.17
062723-MOHK-007-I,EGME,2.1,1.6,2,12.9,12.2,13.1,0.2,0.0401,0.15
062723-MOHK-007-J,EGME,3.8,3.1,3.6,21.8,20,21.4,0.205,0.0298,0.15
062723-MOHK-012-F,EGME,2.5,2,2.4,8.7,8,8.7,0.23,0.0923,0.14
062723-MOHK-012-I,EGME,2.9,2.5,2.8,36.2,30.3,35.2,0.2,0.0553,0.15
062723-MOHK-018-G,EGME,1.8,1.4,1.6,11.9,10.6,11.4,0.15,0.0502,0.13
062723-MOHK-018-J,EGME,3.3,3,3.3,16.6,15.34,16.2,0.12,0.0298,0.1
062723-MOHK-001-F,EGME,1.8,1.9,2.2,8.5,8,8.2,0.13,0.0398,0.1
062723-MOHK-001-G,EGME,2.1,1.6,1.8,13.6,12.5,13.6,0.13,0.0286,0.1
062723-MOHK-001-H,EGME,3.9,3.2,3.6,9.2,6.9,7.5,0.2,0.036,0.11
062723-MOHK-001-I,EGME,2.5,2.4,2.6,7.6,8.6,9,0.17,0.0428,0.1
062723-MOHK-004-F,EGME,4.6,4.4,4.7,22.1,20,21.5,0.19,0.0485,0.14
062723-MOHK-004-G,EGME,2.9,2.6,2.7,9.3,8.7,7.9,0.14,0.0329,0.08
